table_name,column_name,datatype,size,MandatoryCheck
rskcsp_ds_account_curated,name,STRING,255,
rskcsp_ds_account_curated,CCS_Support_Needed__c,BOOL,,
rskcsp_ds_account_curated,CCS_TotalCombinedExposure__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_Total_Current_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_TotalHardLBGLimits__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_TotalSoftLBGLimits__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_Total_Lending_Value__c,DECIMAL,18,2
rskcsp_ds_account_curated,Type,STRING,255,
rskcsp_ds_account_curated,AccountNumber,STRING,40,
rskcsp_ds_account_curated,RecordTypeId,STRING,18,
rskcsp_ds_account_curated,ParentId,STRING,18,
rskcsp_ds_account_curated,LLC_BI__Status__c,STRING,255,
rskcsp_ds_account_curated,OwnerID,STRING,18,
rskcsp_ds_account_curated,CCS_BDCS_Rating__c,STRING,2,
rskcsp_ds_account_curated,CCS_ARI_Flag__c,STRING,255,
rskcsp_ds_account_curated,CurrencyIsoCode,STRING,3,
rskcsp_ds_account_curated,CCS_Average_BDCS_StringRating__c,STRING,1300,
rskcsp_ds_account_curated,CCS_Customer_Status__c,STRING,255,
rskcsp_ds_account_curated,CCS_Default_Comment__c,STRING,2000,
rskcsp_ds_account_curated,CCS_Default_Grade__c,STRING,255,
rskcsp_ds_account_curated,CCS_Default_Status__c,STRING,255,
rskcsp_ds_account_curated,CCS_Domicile__c,STRING,255,
rskcsp_ds_account_curated,CCS_Expiry_Date__c,STRING,255,
rskcsp_ds_account_curated,CCS_Legal_Jurisdiction__c,STRING,255,
rskcsp_ds_account_curated,Migration_ID__c,STRING,18,
rskcsp_ds_account_curated,Ownership,STRING,255,
rskcsp_ds_account_curated,CCS_Reason_for_Default__c,STRING,255,
rskcsp_ds_account_curated,CCS_Chat_with_RM__c,STRING,1300,
rskcsp_ds_account_curated,CCS_Monthly_Loan_Repayment_Limit__c,DECIMAL,5,0
rskcsp_ds_account_curated,CCS_Available_Overdraft__c,DECIMAL,7,0
rskcsp_ds_account_curated,CCS_IRDC_Rating__c,DECIMAL,2,0
rskcsp_ds_account_curated,CCS_Final_Slotted_IRDC_Rating__c,DECIMAL,2,0
rskcsp_ds_account_curated,CCS_Reason_Codes__c,#N/A,4099,
rskcsp_ds_account_curated,Source_of_Customer_Comments__c,STRING,32768,
rskcsp_ds_account_curated,CCS_Average_BDCS_Rating__c,DECIMAL,4,2
rskcsp_ds_account_curated,Environmental_Social_Comments__c,STRING,32768,
rskcsp_ds_account_curated,CCS_Basel_Default__c,BOOL,,
rskcsp_ds_account_curated,CCS_BDCS_Default_Flag__c,BOOL,,
rskcsp_ds_account_curated,CCS_CogLeid__c,DECIMAL,18,0
rskcsp_ds_account_curated,CCS_Customer_Generated_To_last_12_months__c,DECIMAL,16,0
rskcsp_ds_account_curated,CCS_Date_of_Cure__c,DATE,,
rskcsp_ds_account_curated,CCS_Date_of_Default__c,DATE,,
rskcsp_ds_account_curated,CCS_Default_Grade_Rating_Value__c,DECIMAL,18,2
rskcsp_ds_account_curated,CCS_Has_Date_of_Default_been_populated__c,BOOL,,
rskcsp_ds_account_curated,CCS_IRDC_Default_Flag__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_Basel_default_true__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_Checked__c,BOOL,,
rskcsp_ds_account_curated,LLC_BI__Is_Non_Customer__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_ORG_Lead__c,BOOL,,
rskcsp_ds_account_curated,LLC_BI__Next_Review_Date__c,DATE,,
rskcsp_ds_account_curated,BillingAddress,#N/A,,
rskcsp_ds_account_curated,ShippingAddress,#N/A,,
rskcsp_ds_account_curated,LLC_BI__Third_Party__c,#N/A,4099,
rskcsp_ds_account_curated,CCS_Total_Lending_Value_Amount__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_Total_Gross_Value_Amount__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,Id,STRING,18,
rskcsp_ds_connection_curated,CreatedDate,DATETIME,,
rskcsp_ds_connection_curated,CreatedById,STRING,18,
rskcsp_ds_connection_curated,LastModifiedDate,DATETIME,,
rskcsp_ds_connection_curated,LastModifiedById,STRING,18,
rskcsp_ds_connection_curated,CurrencyIsoCode,STRING,3,
rskcsp_ds_connection_curated,CCS_Relationship_Name__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__Connected_To__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,CCS_Roles__c,STRING,255,
rskcsp_ds_connection_curated,CCS_is_Key_Account_Party__c,BOOL,,
rskcsp_ds_connection_curated,CCS_is_Signatory__c,BOOL,,
rskcsp_ds_connection_curated,CCS_KYC_Status__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Support_Needed__c,BOOL,,
rskcsp_ds_connection_curated,CCS_Current_Hard_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,CCS_Current_Soft_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,CCS_Is_ORG_Lead__c,BOOL,,
rskcsp_ds_connection_curated,CCS_Is_part_of_ORG__c,BOOL,,
rskcsp_ds_connection_curated,CCS_ORG_Lead__c,STRING,18,
rskcsp_ds_connection_curated,CCS_ORG_Lead_Name__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Record_Type__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Relationship_in_an_OGSA__c,BOOL,,
rskcsp_ds_connection_curated,CCS_RFI_Flag__c,BOOL,,
rskcsp_ds_connection_curated,CCS_RelationshipToFormula__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Risk_Rating__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Support_Indicator__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Total_Current_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Certifying_Individual__c,BOOL,,
rskcsp_ds_connection_curated,LLC_BI__Connected_From__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Connection_Role__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Controlling_Individual__c,STRING,255,
rskcsp_ds_connection_curated,LLC_BI__Description__c,STRING,255,
rskcsp_ds_connection_curated,LLC_BI__Indirect_Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Is_Active__c,BOOL,,
rskcsp_ds_connection_curated,LLC_BI__Official_Title__c,STRING,80,
rskcsp_ds_connection_curated,LLC_BI__Status__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__Total_Direct_Indirect_Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Type__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__UID__c,STRING,54,
rskcsp_ds_connection_curated,name,STRING,80,
